day,tool,accuracy
2018-08-10,model,0.8505747126436781
2018-08-10,market,0.9195402298850575
2018-08-11,model,0.8333333333333334
2018-08-11,market,0.8777777777777778
2018-08-12,model,0.81
2018-08-12,market,0.89
2018-08-13,model,0.83
2018-08-13,market,0.89
2018-08-14,model,0.81
2018-08-14,market,0.93
2018-08-15,model,0.81
2018-08-15,market,0.91
2018-08-16,model,0.8137254901960784
2018-08-16,market,0.9313725490196079
2018-08-17,model,0.8207547169811321
2018-08-17,market,0.8962264150943396
2018-08-18,model,0.8301886792452831
2018-08-18,market,0.9150943396226415
2018-08-19,model,0.8301886792452831
2018-08-19,market,0.9150943396226415
2018-08-20,model,0.8301886792452831
2018-08-20,market,0.9150943396226415
2018-08-21,model,0.8125
2018-08-21,market,0.8839285714285714
2018-08-22,model,0.8125
2018-08-22,market,0.8482142857142857
2018-08-23,model,0.8157894736842105
2018-08-23,market,0.9035087719298246
2018-08-24,model,0.8157894736842105
2018-08-24,market,0.9210526315789473
2018-08-25,model,0.8157894736842105
2018-08-25,market,0.8508771929824561
2018-08-26,model,0.8157894736842105
2018-08-26,market,0.868421052631579
2018-08-27,model,0.8157894736842105
2018-08-27,market,0.8508771929824561
2018-08-28,model,0.8157894736842105
2018-08-28,market,0.8508771929824561
2018-08-29,model,0.8333333333333334
2018-08-29,market,0.8508771929824561
2018-08-30,model,0.8508771929824561
2018-08-30,market,0.8333333333333334
2018-08-31,model,0.8706896551724138
2018-08-31,market,0.8362068965517241
2018-09-01,model,0.8706896551724138
2018-09-01,market,0.853448275862069
2018-09-02,model,0.8362068965517241
2018-09-02,market,0.8706896551724138
2018-09-03,model,0.8362068965517241
2018-09-03,market,0.8706896551724138
2018-09-04,model,0.8362068965517241
2018-09-04,market,0.853448275862069
2018-09-05,model,0.853448275862069
2018-09-05,market,0.8879310344827587
2018-09-06,model,0.8416666666666667
2018-09-06,market,0.9
2018-09-07,model,0.8629032258064516
2018-09-07,market,0.9032258064516129
2018-09-08,model,0.8629032258064516
2018-09-08,market,0.8870967741935484
2018-09-09,model,0.8790322580645161
2018-09-09,market,0.9193548387096774
2018-09-10,model,0.8790322580645161
2018-09-10,market,0.8709677419354839
2018-09-11,model,0.8671875
2018-09-11,market,0.8888888888888888
2018-09-12,model,0.8692307692307693
2018-09-12,market,0.8692307692307693
2018-09-13,model,0.8692307692307693
2018-09-13,market,0.8769230769230769
2018-09-14,model,0.8692307692307693
2018-09-14,market,0.8692307692307693
2018-09-15,model,0.8692307692307693
2018-09-15,market,0.8923076923076924
2018-09-16,model,0.8692307692307693
2018-09-16,market,0.8615384615384616
2018-09-17,model,0.8769230769230769
2018-09-17,market,0.8692307692307693
2018-09-18,model,0.8615384615384616
2018-09-18,market,0.8692307692307693
2018-09-19,model,0.8615384615384616
2018-09-19,market,0.8923076923076924
2018-09-20,model,0.8615384615384616
2018-09-20,market,0.8846153846153846
2018-09-21,model,0.8461538461538461
2018-09-21,market,0.9076923076923077
2018-09-22,model,0.8461538461538461
2018-09-22,market,0.9076923076923077
2018-09-23,model,0.8461538461538461
2018-09-23,market,0.9076923076923077
2018-09-24,model,0.8461538461538461
2018-09-24,market,0.9
2018-09-25,model,0.835820895522388
2018-09-25,market,0.8582089552238806
2018-09-26,model,0.835820895522388
2018-09-26,market,0.8805970149253731
2018-09-27,model,0.8283582089552238
2018-09-27,market,0.917910447761194
2018-09-28,model,0.835820895522388
2018-09-28,market,0.8656716417910447
2018-09-29,model,0.835820895522388
2018-09-29,market,0.9029850746268657
2018-09-30,model,0.835820895522388
2018-09-30,market,0.8656716417910447
2018-10-01,model,0.8582089552238806
2018-10-01,market,0.8656716417910447
2018-10-02,model,0.8582089552238806
2018-10-02,market,0.8582089552238806
2018-10-03,model,0.8432835820895522
2018-10-03,market,0.8880597014925373
2018-10-04,model,0.8283582089552238
2018-10-04,market,0.8656716417910447
2018-10-05,model,0.8432835820895522
2018-10-05,market,0.8582089552238806
2018-10-06,model,0.8432835820895522
2018-10-06,market,0.8731343283582089
2018-10-07,model,0.8432835820895522
2018-10-07,market,0.8805970149253731
2018-10-08,model,0.8432835820895522
2018-10-08,market,0.9029850746268657
2018-10-09,model,0.8432835820895522
2018-10-09,market,0.8880597014925373
2018-10-10,model,0.8283582089552238
2018-10-10,market,0.8582089552238806
2018-10-11,model,0.8214285714285714
2018-10-11,market,0.8714285714285714
2018-10-12,model,0.8214285714285714
2018-10-12,market,0.8428571428571429
2018-10-13,model,0.8214285714285714
2018-10-13,market,0.8714285714285714
2018-10-14,model,0.8357142857142857
2018-10-14,market,0.8285714285714286
2018-10-15,model,0.85
2018-10-15,market,0.8428571428571429
2018-10-16,model,0.8785714285714286
2018-10-16,market,0.8785714285714286
2018-10-17,model,0.8642857142857143
2018-10-17,market,0.8714285714285714
2018-10-18,model,0.8642857142857143
2018-10-18,market,0.8714285714285714
2018-10-19,model,0.8642857142857143
2018-10-19,market,0.8857142857142857
2018-10-20,model,0.8642857142857143
2018-10-20,market,0.9
2018-10-21,model,0.8642857142857143
2018-10-21,market,0.8785714285714286
2018-10-22,model,0.8928571428571429
2018-10-22,market,0.8642857142857143
2018-10-23,model,0.85
2018-10-23,market,0.8714285714285714
2018-10-24,model,0.8357142857142857
2018-10-24,market,0.8571428571428571
2018-10-25,model,0.852112676056338
2018-10-25,market,0.8873239436619719
2018-10-26,model,0.8450704225352113
2018-10-26,market,0.8873239436619719
2018-10-27,model,0.8450704225352113
2018-10-27,market,0.9014084507042254
2018-10-28,model,0.8591549295774648
2018-10-28,market,0.9014084507042254
2018-10-29,model,0.8194444444444444
2018-10-29,market,0.875
2018-10-30,model,0.8552631578947368
2018-10-30,market,0.88
2018-10-31,model,0.8421052631578947
2018-10-31,market,0.8486842105263158
2018-11-01,model,0.8493975903614458
2018-11-01,market,0.8536585365853658
2018-11-02,model,0.8493975903614458
2018-11-02,market,0.8313253012048193
2018-11-03,model,0.8614457831325302
2018-11-03,market,0.8493975903614458
2018-11-04,model,0.8734939759036144
2018-11-04,market,0.8493975903614458
2018-11-05,model,0.8734939759036144
2018-11-05,market,0.8795180722891566
